imdb_id,cast,director,keywords,genres,production_companies
tt3557406,Fergus Riordan|Madeleine Kelly|McKell David|Darren Evans|Natifa Mai,Thierry Poiraud,fear-of-aging|teenage-boy|teenage-girl|teenager-with-a-gun|insanity,Drama|Horror|Sci-Fi,Noodles Production|Capture the Flag Films|Arcadia Motion Pictures|Inti Entertainment|Orange Studio
tt3602128,Maria Thayer|Michael Cassidy|Julie Brister|Nan'l Meiklejohn|Syd Wilder,Kyle Rankin,zombie|woman-wears-lingerie|psychotronic-film|paramedic|zombie-comedy,Comedy|Horror|Romance,Cocksure Entertainment
tt2998406,Alison Brie|Justin Chatwin|Colin Hanks|Mark Forward|Christopher Cordell,Nick Wernham,love,Comedy|Romance,Innis Lake Entertainment|Pangaea Pictures
tt3745906,Gabriel Basso|Sean Gunn|Kathryn Prescott|Gabrielle Walsh|Jacob Zachar,David Yarovesky,psychological-thriller|psychological-horror|psychological|survival|amnesia,Horror|Sci-Fi|Thriller,Midnight Road Entertainment
tt3619102,Dylan Penn|Ronen Rubinstein|Genevieve Hudson-Price|Honor Titus|Kevin Smith Kirkwood,Eli Morgan Gesner,gay-character|zombie|anarchy|muscleman|gay-couple,Horror,Caliber Media Company
tt3591436,Adam Pally|Rosa Salazar|Rob Huebel|Tony Hale|Peter Krause,Charles Hood,female-nudity|topless-female-nudity|shower,Comedy|Drama,Haven Entertainment|Pan & Scan Pictures
tt3399484,Brooke Butler|Cleo Berry|Cynthia Murell|Dean Geyer|Meagan Holder,Isaac Gabaeff,beach|sand|topless-female-nudity|underground-creature|underground-monster,Comedy|Horror|Sci-Fi|Thriller,Allegra Pictures|Scatena & Rosner Films
tt3704416,Jake Johnson|Rosemarie DeWitt|Jude Swanberg|Alicia Van Couvering|Timothy Simons,Joe Swanberg,male-nudity|male-frontal-nudity|skinny-dipping|male-full-frontal-nudity|nudity,Comedy|Drama,Garrett Motion Pictures|Walcott Company|Lucky Coffee Productions|Forager Films
tt3397754,Henry Kelemen|Julianne Nicholson|Ethan Hawke|Asa Butterfield|Avan Jogia,Shari Springer Berman|Robert Pulcini,alphabet-city-manhattan|indian-american|chopsticks|crying|guitarist,Comedy|Drama|Music,Aloe Entertainment|Archer Gray|Bad Medicine Films|Maven Pictures|MeMo Films
tt2547172,Mark Feuerstein|Jessica Lowndes|Stanley Tucci|Christopher Fitzgerald|Taye Diggs,Sam Friedlander,six-word-title|punctuation-in-title|name-in-title|new-york-city|manhattan,Comedy|Drama|Fantasy|Romance,Night and Day Pictures|Kish Productions|Larry Gaye Movie
tt2948712,Robert LaSardo|Anthony Del Negro|Joey Fisher|Jordan James Smith|Sara Fabel,Devon Downs|Kenny Gage,lap-dance|bondage|sex-in-a-bathroom|three-in-a-bed|parlor,Horror,No data in IMDb
tt3899516,Jonathan Gordon|Jason Ralph|Haaz Sleiman|Britt Lower|Meghann Fahy,Joey Kuhn,gay|painter|pianist|gay-protagonist|gay-love,Drama|Romance,Little Big Horn Films|Those People
tt2492296,Oscar Isaac|Carla Quevedo|Peter Riegert|Natalie Paul|Ilfenesh Hadera,No data in IMDb,lawsuit|1980s|based-on-true-story|workplace-romance|public-housing,Drama|History,Home Box Office|Pretty Pictures|Blown Deadline Productions
tt3488328,Jean-Claude Van Damme|John Ralston|Aki Aleong|Charlotte Peters|Darren Shahlavi,Ernie Barbarash,kidney|uncle|knife-fight|organ|jujitsu,Action|Thriller,ACE Film Company|ACE Studios|Daro Film Distribution|Odyssey Media
tt2124787,Abigail Breslin|Alexander Ludwig|Logan Huffman|Cameron Bright|Reece Thompson,Tyler Shields,serial-killer|female-assassin|vigilante|pretending-to-be-a-victim|murder,Horror|Thriller,Nasser Group North|Prospect Park
tt4835298,Diego Abatantuono|Matilde Gioli|Francesco Facchinetti|Antonio Catania|Andrea Pisani,Guido Chiesa,job-seeking|slacker|lack-of-money|family-relationships|foreign-language-adaptation,Comedy,Apulia Film Commission|Colorado Film Production|Medusa Film|Regione Puglia
tt2190467,Evan Peters|Juno Temple|Christine Lahti|Kevin Alejandro|Jason Beghe,Tony Aloupis,barefoot-male|darkroom|shirtless-man|tattoo|handicapped,Drama,Aloupis Productions|Hacienda Film Co.
tt3482062,Patrick Renna|Tommy Savas|Annie Monroe|Jackie Tohn|Page Kennedy,Jason Schnell,female-female-kiss|girl-in-panties|black-panties|panties,Comedy,Eastside Films|Fae Studio
tt3511596,Scott Adkins|Nick Chinlund|Caitlin Keats|Madison Lawlor|Tony Perez,Isaac Florentine,murder-of-a-police-officer|shooting-a-police-officer|woman-with-a-gun|barricading-a-door|kidnapping-of-daughter,Action|Crime|Thriller,Bleiberg Entertainment|Compound B|Entropy|Underdogg Entertainment
tt3717016,Portia Doubleday|Marc-André Grondin|Chris Noth|Lauren Holly|Natalie Krill,Sean Garrity,overalls|montreal-quebec|godmother-goddaughter-relationship|father-daughter-relationship|stepmother-stepdaughter-relationship,Comedy,Myriad Pictures|Pacific Northwest Pictures|TVA Films|Martinelli Films|Don Carmody Productions
tt4767950,Candace Cameron Bure|Paul Greene|Sarah Strange|David Lewis|Marcus Rosner,Ron Oliver,competition|bare-chested-male|bed|dinner|gift,Comedy|Romance,ACTR Productions|Axelrod-Ett Productions|Front Street Pictures
tt2977090,Mary Elizabeth Winstead|Don Johnson|Reg E. Cathey|Skylar Gaertner|Chris Messina,Chris Messina,artist|father-daughter-relationship|marital-separation|venice-california|reference-to-santa-fe-new-mexico,Drama,Electric City Entertainment
tt4104022,Jemaine Clement|Aundrea Gadsby|Gia Gadsby|Nancy Eng|Samantha Posey,Jim Strouse,unfaithfulness|father-daughter-relationship|girl|twin-girls|novelist,Comedy|Romance,Beachside Films
tt2753778,Nicolas Cage|Tim Burton|Kevin Smith|Dan Gilroy|Jon Peters,Jon Schnepp,crowdfunded|reference-to-nicolas-cage|superhero|dc-comics|death-in-title,Documentary,Super Skull Ship
tt4908644,Bishop Agapit|Catherine Ashton|Serhii Averchenko|Kristina Berdinskikh|Julie DiFonzo,Evgeny Afineevsky,politician-mafioso|gang-warfare|kiev-ukraine|ukrainian-politics|claim-in-title,Documentary,Afineevsky - Tolmor Production|Campbell Grobman Films|Makemake|Netflix|Passion Pictures
tt3727982,Louisa Krause|Whitney Able|Deborah Rush|William Sadler|Zachary Booth,Jordan Galland,drumroll|rug|bloodstain|psychotronic-series|woman-wears-an-eyepatch,Comedy|Horror|Mystery|Thriller,ODD NY|Off Hollywood Pictures|Ravenous Films|Traction Media
tt4630444,Nick Robinson|Morgan Saylor|Devon Bostick|Susan Misner|Ricardo Chavira,Rob Reiner,rehab|teenager|drug-addict|friendship|father-son-relationship,Drama|Romance,Castle Rock Entertainment|Jorva Entertainment Productions|Defiant Pictures|Buffalo 8 Productions
tt3561236,Andrew Leung|Louise Brealey|Sheila Reid|Pippa Nixon|Billy Postlethwaite,Neil Mcenery-West,low-budget-sci-fi-movie|hazmat-suit|pandemic|apocalypse,Horror|Sci-Fi|Thriller,Bright Cold Day Films|Patchwork Productions|Bandoola Productions
tt3800796,Sarah Lind|Devon Sawa|Gina Holden|Peter MacNeill|Daina Leitold,Steven R. Monroe,female-nudity|topless-female-nudity|sex-scene|barefoot-woman|blood,Horror,WT Canada Productions
tt4587740,Lacey Chabert|Brennan Elliott|Kathy Najimy|Kevin Chamberlin|Fina Strazza,Mariah Carey,christmas|f-rated|female-protagonist|single-mother,Comedy|Music|Romance,Hallmark Channel|Brad Krevoy Television|Magic Carpet Productions|Wikked Entertainment|Axelrod-Ett Productions
tt4141368,Suzie Frances Garton|Lee Bane|Flynn Allen|Judith Haley|Cyd Casados,Andrew Jones,doll|evil-doll|husband-wife-relationship|toy-comes-to-life|killer-doll,Horror,North Bank Entertainment
tt4264426,Elma Begovic|Annette Wozniak|Denise Yuen|Jordan Gray|Lawrene Denkers,Chad Archibald,infection|insect|female-protagonist|vacation|fiance-fiancee-relationship,Horror,Black Fawn Films|Breakthrough Entertainment
tt5184298,Chris Wedge|Denis Leary|John Leguizamo|Ray Romano,Mike Thurmeier|Galen T. Chu,2010s|rat|squirrel|nut|void,Animation|Short|Adventure|Comedy|Family,Blue Sky Studios
tt3881680,James Lafferty|Danny Glover|Julie Gonzalo|Dale Dickey|Marshall Bell,Eshom Nelms|Ian Nelms,work,Comedy|Drama,6 Foot Films|Side Gig Productions
tt3121332,Sebastián Silva|Kristen Wiig|Tunde Adebimpe|Reg E. Cathey|Mark Margolis,Sebastián Silva,weak-sperm|mentally-ill|illegal-immigrant|azoospermia|artificial-insemination,Drama,Fabula|Funny Balloons|Versatile|Killer Films
tt4393514,George Bush|George W. Bush|Joanne Herring|Hamid Karzai|Mike Martin,Adam Curtis,reference-to-franklin-d.-roosevelt|reference-to-'the-thick-of-it'|muhammad|doctrine|religious-movement,Documentary,British Broadcasting Corporation
tt3844362,Adam Scott|Taylor Schilling|RJ Hermes|Kyle Field|Sarah DeVincentis,Patrick Brice,prosthetic-penis|hand-job|nude-swimming|female-frontal-nudity|female-nudity,Comedy|Mystery,Duplass Brothers Productions|Gettin' Rad Productions
tt2945796,Matt Vael|Simon Cotton|Kevin Leslie|Olivia Moyles|Phil Dunster,Zackary Adler,journey,Crime|Drama,Saracen Films|Torn Pictures
tt4819560,Andy Lau|Ye Liu|Qianyuan Wang|Ruofu Wu|Xiaorui Zhao,Sheng Ding,police|chinese|businessman|chain|chained,Action|Crime|Drama|Thriller,Beijing Going Zoom Media|Shanghai New Culture Media Group|Beijing Skywheel Entertainment Co.|Beijing Gongzuoshi Entertainment Co.|Heyi Pictures
tt3593046,Josh Duhamel|Josh Wiggins|Lynn Collins|Emma Fuhrmann|Al Hayter,Trey Nelson,teenage-boy|cross-country|father-son-reunion|teenager|grandmother-grandson-relationship,Action|Drama|Thriller,Floren Shieh Productions|RainMaker Films
tt3503840,Steven Seagal|Byron Mann|Howard Dell|Adina Stetcu|Vinnie Jones,Keoni Waxman,time-bomb|ukraine|weapon|nightclub-shootout|car,Action|Adventure|Crime|Thriller,Daro Film Distribution|Actionhouse Pictures|Castel Film Romania
tt4733536,Stephen Dorff|Eddie Griffin|Luis Da Silva Jr.|Christopher Berry|Yohance Myles,Nick Love,non-comic-book-superhero|superhero|father-son-relationship|reconciliation|female-nudity,Action|Comedy|Drama|Sci-Fi,Vertigo Films
tt4151192,Randy Orton|Eric Roberts|Wes Studi|Steven Michael Quezada|Bill Stinchcomb,Roel Reiné,aerial-camera-shot|female-police-officer|female-police-officer-deceased|litigation|guilty-verdict,Action|Thriller,WWE Studios
